mart_1.id,mart_1.price,mart_1.district,mart_1.rooms,mart_1.total_area,mart_1.current_floor,mart_1.max_floor,mart_1.build_year,mart_1.bath,mart_1.repair,mart_1.window_type,mart_1.places_total
2007,10000000,Дмитровский,1.0,,3,17,2012.0,1 совмещенный,,На улицу,0
2014,9800000,Коммунарка поселок,1.0,41.0,15,16,2015.0,1 совмещенный,Дизайнерский,Во двор,0
2025,9480000,Орехово-Борисово Южное,1.0,38.0,6,17,1986.0,1 совмещенный,Косметический,Во двор,0
2031,9300000,Солнцево,1.0,,1,15,2005.0,1 раздельный,Евроремонт,На улицу,0
2049,9300000,Некрасовка,1.0,38.0,3,11,2016.0,1 совмещенный,Евроремонт,На улицу,0
2054,9300000,Сосенское поселение,1.0,35.0,7,12,2021.0,1 совмещенный,Косметический,Во двор,0
2059,9550000,Зябликово,1.0,38.0,1,11,1999.0,1 совмещенный,Косметический,Во двор,0
2115,9300000,Чертаново Южное,1.0,,4,12,1978.0,1 раздельный,Косметический,Во двор,0
2125,9300000,Чертаново Северное,1.0,33.0,5,12,1973.0,1 совмещенный,Косметический,Во двор,0
2126,9000000,Котловка,1.0,32.0,2,5,1961.0,1 совмещенный,Косметический,,0
2136,9300000,Чертаново Северное,1.0,,4,9,1969.0,1 совмещенный,Косметический,Во двор,0
2143,9000000,Котловка,1.0,33.0,1,9,1979.0,1 раздельный,Без ремонта,Во двор,0
2152,9250000,Южное Бутово,1.0,39.0,3,14,2009.0,1 совмещенный,Евроремонт,Во двор,0
2161,9300000,Строгино,1.0,,8,9,1979.0,1 раздельный,Косметический,Во двор,1
2166,9000000,Ярославский,1.0,,15,16,1980.0,1 совмещенный,Косметический,На улицу,1
2174,9200000,Южное Тушино,1.0,,5,16,1983.0,,Косметический,,0
2185,9290000,Чертаново Центральное,1.0,,2,9,1970.0,1 раздельный,Евроремонт,Во двор,0
2199,9300000,Коммунарка поселок,1.0,,10,14,2016.0,1 совмещенный,Евроремонт,,1
2200,9000000,Орехово-Борисово Южное,1.0,,8,9,1979.0,1 совмещенный,Косметический,На улицу,0
2209,9000000,Бирюлево Западное,1.0,,11,14,1985.0,1 раздельный,Евроремонт,Во двор,0
2237,9150000,Очаково-Матвеевское,1.0,34.0,8,9,1968.0,1 раздельный,Косметический,Во двор,0
2252,9000000,Митино,1.0,,7,17,1993.0,1 совмещенный,Без ремонта,Во двор,1
2263,9230000,Вешняки,1.0,33.0,8,9,1971.0,,Косметический,,1
2268,9000000,Орехово-Борисово Северное,1.0,,4,9,1973.0,1 совмещенный,Косметический,Во двор,0
2273,9200000,Московский поселение,1.0,,13,22,2022.0,1 совмещенный,Без ремонта,Во двор,5
2283,9000000,Ивановское,1.0,,3,16,1977.0,1 совмещенный,Косметический,Во двор,0
2285,9000000,Можайский,1.0,,19,23,1982.0,1 совмещенный,Косметический,Во двор,0
2318,9300000,Гольяново,1.0,,2,12,1969.0,1 раздельный,Косметический,На улицу,0
2323,9299000,Хорошево-Мневники,1.0,31.0,3,5,1961.0,1 совмещенный,Косметический,Во двор,0
2328,9300000,Гольяново,1.0,,2,14,1969.0,1 раздельный,Косметический,Во двор,2
2334,9000000,Чертаново Северное,1.0,33.0,7,9,1969.0,1 совмещенный,Косметический,На улицу,0
2335,9300000,Ясенево,1.0,,4,9,1979.0,1 совмещенный,Косметический,Во двор,0
2348,9000000,Марьино,1.0,,1,12,1980.0,1 раздельный,Косметический,Во двор,0
2367,9400000,Новокосино,1.0,,12,12,1996.0,1 совмещенный,Косметический,,0
2368,9400000,Митино,1.0,39.0,15,17,1993.0,1 совмещенный,Без ремонта,,0
2371,9400000,Лефортово,1.0,21.0,12,24,2020.0,1 совмещенный,Евроремонт,,0
2395,9399000,Головинский,1.0,,8,16,1979.0,1 совмещенный,Косметический,,0
2406,9390000,Южное Бутово,1.0,,7,9,2000.0,1 раздельный,Косметический,На улицу,0
2426,10700000,Бибирево,1.0,38.0,8,12,1974.0,1 раздельный,Дизайнерский,Во двор,0
2427,10700000,Коньково,1.0,,5,15,1973.0,1 раздельный,Косметический,Во двор,0
2444,10500000,Тимирязевский,1.0,,7,12,1966.0,1 совмещенный,Косметический,Во двор,2
2450,11000000,Сосенское поселение,1.0,40.0,3,12,2021.0,1 совмещенный,Евроремонт,На улицу,0
2452,10500000,Лефортово,1.0,,3,16,1977.0,1 раздельный,Евроремонт,,15
2458,10500000,Южнопортовый,1.0,,5,9,1963.0,1 совмещенный,Евроремонт,Во двор,0
2472,10500000,Бибирево,1.0,,14,16,1981.0,,Евроремонт,,3
2474,10400000,Филевский парк,1.0,,1,8,1959.0,1 раздельный,Косметический,Во двор,1
2484,10500000,Московский поселение,1.0,,9,23,2019.0,1 совмещенный,Евроремонт,На улицу и двор,5
2488,11000000,Коммунарка поселок,1.0,48.0,11,17,2013.0,1 совмещенный,Евроремонт,Во двор,0
2492,10400000,Дмитровский,1.0,38.0,2,17,2008.0,1 совмещенный,Косметический,,0
2493,10590000,Аэропорт,1.0,32.0,2,5,1964.0,1 совмещенный,Евроремонт,,0
2507,10900000,Орехово-Борисово Южное,1.0,36.0,9,16,2020.0,1 совмещенный,Косметический,На улицу,0
2511,10300000,Бескудниковский,1.0,38.0,12,17,2002.0,1 раздельный,Без ремонта,Во двор,0
2514,10300000,Марьина роща,1.0,35.0,2,16,1977.0,1 совмещенный,Косметический,Во двор,0
2518,10200000,Текстильщики,1.0,38.0,4,9,2019.0,1 совмещенный,Евроремонт,Во двор,1
2525,10600000,Солнцево,1.0,38.0,11,23,2020.0,1 раздельный,Без ремонта,Во двор,0
2530,10200000,Головинский,1.0,40.0,16,16,1975.0,1 совмещенный,Евроремонт,Во двор,0
2550,10999000,Южное Бутово,1.0,,15,34,2019.0,1 совмещенный,Евроремонт,Во двор,0
2553,11000000,Нагатинский затон,1.0,,2,12,1965.0,1 совмещенный,Евроремонт,Во двор,0
2570,10999000,Богородское,1.0,36.0,9,9,1973.0,1 совмещенный,Евроремонт,На улицу,0
2575,10390000,Лианозово,1.0,,4,16,1982.0,1 совмещенный,Евроремонт,Во двор,0
2579,10850000,Московский поселение,1.0,39.0,11,25,2020.0,1 раздельный,Косметический,На улицу и двор,0
2602,10800000,Московский,1.0,,4,25,2019.0,1 совмещенный,Евроремонт,На улицу,0
2609,11000000,Нагатино-Садовники,1.0,32.0,3,5,1962.0,1 совмещенный,Косметический,Во двор,0
2627,10200000,Марьина роща,1.0,33.0,6,9,1959.0,1 совмещенный,Косметический,Во двор,0
2628,10550000,Чертаново Северное,1.0,,2,17,1988.0,1 совмещенный,,Во двор,0
2638,11000000,Коммунарка поселок,1.0,,4,8,2014.0,1 совмещенный,Дизайнерский,На улицу,1
2642,10500000,Чертаново Южное,1.0,,3,12,1973.0,1 совмещенный,Дизайнерский,Во двор,0
2656,10100000,Коммунарка поселок,1.0,,7,16,2015.0,,Евроремонт,Во двор,1
2666,10100000,Тимирязевский,1.0,,5,12,1966.0,,Без ремонта,Во двор,1
2670,10050000,Марьино,1.0,,6,16,1981.0,1 совмещенный,Евроремонт,Во двор,0
2680,10350000,Можайский,1.0,34.0,5,9,1974.0,,Без ремонта,На улицу,0
2682,10000000,Бибирево,1.0,,5,22,1984.0,1 раздельный,Косметический,Во двор,0
2698,10000000,Восточное Измайлово,1.0,33.0,8,9,1966.0,1 совмещенный,Косметический,Во двор,2
