mart_3.id,mart_3.price,mart_3.district,mart_3.rooms,mart_3.total_area,mart_3.current_floor,mart_3.max_floor,mart_3.build_year,mart_3.bath,mart_3.repair,mart_3.window_type
209,6900000.0,Крюково,,,4.0,16.0,2017.0,1 совмещенный,Евроремонт,На улицу
210,6850000.0,ул. Красулинская,,,11.0,17.0,,1 совмещенный,Косметический,На улицу
211,6900000.0,Кунцево,,,22.0,25.0,,1 совмещенный,Евроремонт,Во двор
212,6850000.0,ул. Красулинская,,,11.0,17.0,,1 раздельный,Евроремонт,
213,6898000.0,Можайский,,,3.0,12.0,2021.0,,Без ремонта,
214,6900000.0,Коммунарка поселок,,,3.0,16.0,2022.0,,Дизайнерский,
215,6850000.0,Филимонковское поселение,,,3.0,4.0,2021.0,1 совмещенный,Дизайнерский,Во двор
216,2800000.0,Южное Бутово,,,2.0,14.0,1996.0,1 раздельный,Евроремонт,
217,7000000.0,Коммунарка поселок,,,15.0,17.0,2020.0,1 совмещенный,Евроремонт,Во двор
218,7000000.0,ш. Рязановское,,,2.0,13.0,2021.0,1 совмещенный,Евроремонт,На улицу
219,7000000.0,Солнцево,,,16.0,23.0,,1 совмещенный,Без ремонта,Во двор
220,7000000.0,Сосенское поселение,,,12.0,18.0,2022.0,1 совмещенный,Без ремонта,На улицу
221,6990000.0,Сосенское поселение,,19.0,11.0,16.0,,1 совмещенный,Косметический,На улицу
222,2350000.0,Щербинка,,,1.0,5.0,1968.0,1 совмещенный,Без ремонта,
223,6999000.0,Южное Бутово,,,31.0,33.0,2021.0,1 совмещенный,Косметический,
224,3500000.0,Гольяново,,15.0,1.0,9.0,1968.0,1 совмещенный,Евроремонт,Во двор
225,3300000.0,Котловка,,16.0,1.0,5.0,1958.0,1 совмещенный,Без ремонта,
226,3250000.0,Филимонковское поселение,,,1.0,12.0,2019.0,1 совмещенный,Без ремонта,На улицу и двор
227,3100000.0,Рязановское поселение,,15.0,1.0,7.0,2009.0,1 совмещенный,Косметический,На улицу
228,3800000.0,Новогиреево,,12.0,1.0,5.0,1960.0,1 совмещенный,Косметический,На улицу и двор
229,3700000.0,Орехово-Борисово Южное,,14.0,1.0,9.0,1974.0,1 совмещенный,Евроремонт,На улицу
230,3700000.0,Гольяново,,17.0,1.0,9.0,1968.0,1 совмещенный,Евроремонт,Во двор
231,3600000.0,Новогиреево,,,1.0,5.0,1960.0,1 совмещенный,Евроремонт,На улицу
232,3800000.0,Ховрино,,,1.0,9.0,1968.0,,Евроремонт,Во двор
233,3550000.0,Филимонковское поселение,,20.0,1.0,9.0,2019.0,1 совмещенный,Без ремонта,На улицу и двор
234,3600000.0,Новогиреево,,,1.0,5.0,1960.0,1 совмещенный,Евроремонт,Во двор
235,4099999.0,Хорошево-Мневники,,,1.0,5.0,1961.0,1 совмещенный,Дизайнерский,На улицу
236,3800000.0,Ясенево,,12.0,1.0,9.0,1977.0,1 совмещенный,Косметический,Во двор
237,3900000.0,Бибирево,,,1.0,12.0,1981.0,1 раздельный,Косметический,
238,3919000.0,Старое Крюково,,,3.0,9.0,,1 совмещенный,Косметический,На улицу
239,3950000.0,Хорошево-Мневники,,12.0,1.0,9.0,1968.0,1 раздельный,Без ремонта,Во двор
240,3950000.0,Щербинка,,20.0,1.0,4.0,,1 совмещенный,Косметический,
241,3850000.0,Ясенево,,11.0,1.0,9.0,1976.0,1 совмещенный,Евроремонт,Во двор
242,3999999.0,Щербинка,,15.0,1.0,9.0,1976.0,1 совмещенный,Косметический,
243,4000000.0,Некрасовка,,,2.0,25.0,2016.0,1 совмещенный,Евроремонт,
244,4350000.0,Хорошево-Мневники,,,1.0,5.0,1961.0,1 совмещенный,Косметический,
245,4050000.0,Южное Бутово,,,2.0,14.0,1996.0,1 раздельный,Евроремонт,
246,4300000.0,Северное Бутово,,,1.0,17.0,1994.0,1 совмещенный,Косметический,Во двор
247,4150000.0,Новогиреево,,18.0,1.0,6.0,1937.0,1 совмещенный,Косметический,
248,4050000.0,Ново-Переделкино,,17.0,1.0,17.0,1988.0,1 раздельный,Косметический,
249,4300000.0,Выхино-Жулебино,,16.0,2.0,12.0,1995.0,1 совмещенный,Косметический,На улицу
250,4250000.0,Бибирево,,17.0,1.0,12.0,1975.0,1 совмещенный,Без ремонта,Во двор
251,4299999.0,Хорошево-Мневники,,,1.0,5.0,1961.0,1 совмещенный,Дизайнерский,
252,4550000.0,Ростокино,,19.0,1.0,5.0,1956.0,1 раздельный,Косметический,
253,4500000.0,Очаково-Матвеевское,,,6.0,9.0,,1 совмещенный,Евроремонт,Во двор
